"Reference","Value","Part Number","Qty"
"C1, C12, C26, C36","1u","CL21B105KBFNNNG","4"
"C2, C3, C9, C10, C13, C17, C23, C24, C28-C31, C33, C38","100n","KGM21NR71H104KT","14"
"C4","470p","C0805C471K5RAC7800","1"
"C5-C8","1n","CL21B102KCANNNC","4"
"C11","150p","C0805C151J5GAC7800","1"
"C14, C15","100u","ESH107M063AH9AA","2"
"C16, C34, C39","4.7u","CL21A475KBQNNNE","3"
"C18, C19","330u","UKW1J331MPD","2"
"C20, C22","220u","UPW1J221MPD","2"
"C21, C27, C32, C37","10u","GRM21BR61H106KE43L","4"
"C25, C35","2.2u","CL21A225KBFNNNE","2"
"D1-D3, D9, D14, D16-D18","1N4148","1N4148WGW","8"
"D4, D5, D7, D8, D11, D12","MBR0530","MBR0530-TP","6"
"D6, D10, D15","LED","","3"
"D13","1N4007","1N4007FL","1"
"H1-H4","MountingHole_Pad","","4"
"J1","UVLO_EN","","1"
"J2","UVLO_TP","","1"
"J3","Conn_01x03","","1"
"J4","OCD_TP","","1"
"J5","Pulse_Skip","","1"
"J6","Conn_01x02","","1"
"J7","OCD","EBB-02-D-BL","1"
"J8","CT","EBB-02-D-BL","1"
"J9","PHASE_LEAD","","1"
"J10","24V","EBB-02-D-BL","1"
"J11","GDT0","EBB-02-D-BL","1"
"J12","GDT1","EBB-02-D-BL","1"
"J13","PHASE","","1"
"L1","SLOT7","","1"
"OP1","OPF2412T","","1"
"OP2","IFD95","","1"
"Q1","2N3906","","1"
"Q2-Q5","AOD609","AOD609","4"
"R1, R4, R6, R12, R14, R19-R21, R25, R27, R30-R32, R34","1k","RNCP0805FTD1K00","14"
"R2, R10, R16, R17, R22, R23, R26","470r","RK73H2ATTD4700F","7"
"R3, R13","1.8k","RK73B2ATTD182J","2"
"R5, R15, R18","100k","RK73H2ATTD1003F","3"
"R7, R11","10k","RK73H2ATTD1002F","2"
"R8, R9","5.1r 0.5W","ESR10EZPJ5R1","2"
"R24","51r 2W","CRM2512-JW-510ELF","1"
"R28","1r","RK73H2ATTD1R00F","1"
"R29, R33","15r 0.5W","SG73P2ATTD15R0F","2"
"RV1","5k","","1"
"RV2","10k","","1"
"U1","SN74HC14DR","SN74HC14DR","1"
"U2","NCV303LSN27T1G","NCV303LSN27T1G","1"
"U3","74HC74D,653","74HC74D,653","1"
"U4","SN74HC08DR","SN74HC08DR","1"
"U5","LM311","LM311DR","1"
"U6","TL3116","TL3116CD","1"
"U7","LM7812_TO220","","1"
"U8","LM7805_TO220","","1"
"U11, U12","UCC27324DR","UCC27324DR","2"
